IPO_Name,Listing_Gain_Pct,Current_Gain_Pct,Predicted_Gain,Prob_Positive,Invest_Flag,Hold_Better_Than_Flip,Flip_Hold_Strategy,IPO_Quality_Score,Score_Category,Dominant_Investor
Power Grid Corporation of India Ltd,7.89,217.5,16.36740572847968,0.9936,1,1,Hold,0.22100003642064506,Moderate,QIB_Dominant
Engineers India Ltd,-0.07,34.0,7.372216176785586,0.5223,0,1,Hold,0.19197485446247978,Weak,QIB_Dominant
Wonderla Holidays Ltd,31.8,371.88,20.60103668821325,0.8922,1,1,Hold,0.3685218290367557,Strong,HNI_Dominant
Snowman Logistics Ltd,59.57,14.11,50.71050996699208,0.9641,1,0,Flip,0.358300476514486,Strong,HNI_Dominant
Sharda Cropchem Ltd,62.88,524.13,30.286372759573364,0.9052,1,1,Hold,0.3874833145396089,Strong,HNI_Dominant
Shemaroo Entertainment Ltd,5.88,-31.76,0.5097059935806962,0.4435,0,0,Flip,0.19956631795331625,Moderate,HNI_Dominant
Monte Carlo Fashions Ltd,-9.3,-14.79,-1.2397550705689222,0.3228,0,0,Flip,0.17582604838177732,Weak,QIB_Dominant
Ortel Communications Ltd,0.0,-99.22,2.6836078254392715,0.3123,0,0,Flip,0.16093359993497003,Weak,QIB_Dominant
Imagicaaworld Entertainment Ltd,-6.69,-66.32,-2.2505456858862747,0.2132,0,0,Flip,0.1591135738333572,Weak,RII_Dominant
Inox Wind Ltd,23.08,-56.91,13.42848235844168,0.6583,1,0,Flip,0.26540393140747964,Moderate,QIB_Dominant
VRL Logistics Ltd,40.49,180.49,28.01412428412748,0.9901,1,1,Hold,0.36794958610857004,Strong,HNI_Dominant
MEP Infrastructure Developers Ltd,0.0,-97.38,0.2128107881156801,0.2396,0,0,Flip,0.19489781448394372,Moderate,HNI_Dominant
UFO Moviez India Ltd,-4.0,-87.61,-3.289109733733272,0.1411,0,0,Flip,0.19730103331511084,Moderate,QIB_Dominant
PNC Infratech Ltd,0.79,-19.75,0.4169682657823963,0.1738,0,0,Flip,0.21910852073229076,Moderate,QIB_Dominant
Manpasand Beverages Ltd,-9.06,-98.08,-4.436734557799581,0.0941,0,0,Flip,0.1571238178888501,Weak,QIB_Dominant
Syngene International Ltd,18.0,157.98,17.342391032520723,0.836,1,1,Hold,0.3217067715197186,Strong,HNI_Dominant
Power Mech Projects Ltd,-6.25,386.41,10.935202093918825,0.522,0,1,Hold,0.34042759188435734,Strong,HNI_Dominant
Navkar Corporation Ltd,-1.94,-22.9,0.09616591023981771,0.1924,0,0,Flip,0.18750334987630055,Weak,QIB_Dominant
Shree Pushkar Chemicals Ltd,-7.69,514.23,1.0914584966038487,0.5839,0,1,Hold,0.21721543924454356,Moderate,HNI_Dominant
Pennar Engineered Building Systems Ltd,-15.73,-64.13,-5.167506918226088,0.1677,0,0,Flip,0.23939560285191167,Moderate,QIB_Dominant
Sadbhav Infrastructure Project Ltd,7.52,-96.5,0.6945387600811488,0.3988,0,0,Flip,0.1765943324464858,Weak,QIB_Dominant
Madhyam Agrivet Industries Ltd,0.0,-13.26,1.1613085631410098,0.3584,0,0,Flip,0.22799518076280062,Moderate,HNI_Dominant
Coffee Day Enterprises Ltd,-4.57,-89.08,2.0941754693507053,0.3735,0,0,Flip,0.19089105617094462,Weak,QIB_Dominant
Interglobe Aviation Ltd,11.9,672.55,11.572256323052779,0.8782,1,1,Hold,0.20662900932094702,Moderate,QIB_Dominant
S H Kelkar & Company Ltd,23.33,30.03,5.021232706216377,0.3322,0,1,Hold,0.21581170188796417,Moderate,QIB_Dominant
Alkem Laboratories Ltd,31.43,371.18,34.32150434380888,0.9349,1,1,Hold,0.31745342840876944,Strong,HNI_Dominant
Dr Lal Pathlabs Ltd,30.36,489.98,19.8853785610119,0.7792,1,1,Hold,0.28410816380174664,Strong,QIB_Dominant
Narayana Hrudayalaya Ltd,16.4,618.78,9.280428149323647,0.7942,0,1,Hold,0.22027686118581333,Moderate,QIB_Dominant
Precision Camshafts Ltd,-12.31,-6.4,-2.9039526816790993,0.1675,0,1,Hold,0.1593371091521285,Weak,QIB_Dominant
Team Lease Services Ltd,1.18,103.53,20.256487287337084,0.8836,1,1,Hold,0.31895491014821237,Strong,HNI_Dominant
Quick Heal Technologies Ltd,-5.0,-10.45,5.7795678171808245,0.4218,0,0,Flip,0.2857806867356005,Strong,HNI_Dominant
Healthcare Global Enterprises Ltd,-3.76,202.29,-2.7262079451823134,0.0953,0,1,Hold,0.15659273166683466,Weak,QIB_Dominant
Bharat Wire Ropes Ltd,5.22,285.11,2.208453832197465,0.6736,0,1,Hold,0.22158281281076828,Moderate,RII_Dominant
Infibeam Avenues Ltd,6.02,-96.51,0.7587610952000077,0.4606,0,0,Flip,0.21417186163941843,Moderate,HNI_Dominant
Equitas Holdings Ltd,30.91,9.0,17.463640823617634,0.7646,1,0,Flip,0.2857740447089274,Strong,HNI_Dominant
Thyrocare Technologies Ltd,48.43,202.02,33.904337601606336,0.9897,1,1,Hold,0.3588795185894166,Strong,HNI_Dominant
Ujjivan Financial Services Ltd,8.1,181.12,14.969868651159624,0.7681,1,1,Hold,0.322358364882613,Strong,HNI_Dominant
Parag Milk Foods Ltd,0.33,2.84,-0.5643228478905316,0.4017,0,1,Hold,0.18685942245713727,Weak,HNI_Dominant
Mahanagar Gas Ltd,28.27,222.09,26.88760629768524,0.9896,1,1,Hold,0.3385061993085594,Strong,HNI_Dominant
Quess Corp Ltd,57.41,-12.78,52.593945311342,0.9952,1,0,Flip,0.3988478548197362,Strong,HNI_Dominant
LTIMindtree Ltd,-6.11,618.08,3.3802264952034666,0.4341,0,1,Hold,0.19560991861223104,Moderate,QIB_Dominant
Advanced Enzyme Technologies Ltd,35.04,-66.29,50.62522752581551,0.9968,1,0,Flip,0.4160230818656195,Strong,HNI_Dominant
Dilip Buildcon Ltd,9.59,116.76,12.951132653384597,0.82,1,1,Hold,0.31535750325646006,Strong,HNI_Dominant
S P Apparels Ltd,13.81,203.88,5.506131221444539,0.5339,0,1,Hold,0.18721444602455029,Weak,QIB_Dominant
RBL Bank Ltd,21.64,14.8,28.182908487250025,0.9933,1,0,Flip,0.3392274113385563,Strong,HNI_Dominant
L&T Technology Services Ltd,4.65,386.41,-3.4533239167131695,0.1521,0,1,Hold,0.17468563607025883,Weak,QIB_Dominant
GNA Axles Ltd,20.05,46.62,29.907907585051003,0.9331,1,1,Hold,0.37608776963996227,Strong,HNI_Dominant
ICICI Prudential Life Insurance Company Ltd,-1.5,83.91,4.880167287146188,0.3802,0,1,Hold,0.2434189612208424,Moderate,HNI_Dominant
HPL Electric & Power Ltd,-5.92,189.85,1.4538267669963068,0.3625,0,1,Hold,0.26533488237319774,Moderate,HNI_Dominant
Endurance Technologies Ltd,20.76,436.65,23.325859500034152,0.8628,1,1,Hold,0.3148557424344044,Strong,HNI_Dominant
PNB Housing Finance Ltd,11.35,-0.77,15.010859641323327,0.6604,1,0,Flip,0.2886543910988214,Strong,HNI_Dominant
Varun Beverages Ltd,-3.37,15.3,-2.5295508433225447,0.1122,0,1,Hold,0.188013219034704,Weak,QIB_Dominant
Sheela Foam Ltd,17.81,-8.97,10.609544405154601,0.7452,1,0,Flip,0.2333830597125965,Moderate,QIB_Dominant
Laurus Labs Ltd,14.49,92.03,4.7335938998834095,0.5754,0,1,Hold,0.20379468731064468,Moderate,QIB_Dominant
BSE Ltd (Bombay Stock Exchange),34.62,,27.61563970529122,0.9682,1,0,Flip,0.32179849117392434,Strong,HNI_Dominant
Music Broadcast Ltd,26.13,-97.5,18.742207288304787,0.8036,1,0,Flip,0.3062771547631452,Strong,HNI_Dominant
Avenue Supermarts Ltd (DMart),102.14,1318.01,65.13191211999897,0.9968,1,1,Hold,0.36714415543621826,Strong,HNI_Dominant
CL Educate Ltd,-20.72,-78.78,-7.252011165751079,0.1336,0,0,Flip,0.1747645768126233,Weak,QIB_Dominant
Shankara Building Products Ltd,18.48,139.24,18.8351653338018,0.8264,1,1,Hold,0.2921984798593736,Strong,HNI_Dominant
S Chand & Company Ltd,5.52,-72.22,19.614782548397976,0.9553,1,0,Flip,0.347490132468991,Strong,HNI_Dominant
IRB InvIT Fund,1.23,-38.04,1.6663771992395229,0.8559,0,0,Flip,0.15069650152774944,Weak,QIB_Dominant
Housing & Urban Development Corporation Ltd,22.42,252.42,36.987573055503596,0.9788,1,1,Hold,0.39459629444100286,Strong,HNI_Dominant
PSP Projects Ltd,-5.24,217.14,-1.7082959845671555,0.2828,0,1,Hold,0.20468654014285295,Moderate,HNI_Dominant
