Date,IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Price,Listing_Gain_Pct,CMP_BSE,CMP_NSE,Current_Gain_Pct,QIB_Ratio,HNI_Ratio,RII_Ratio,QIB_minus_RII,HNI_minus_RII,QIB_plus_HNI,Sub_Imbalance,Log_Issue_Size,Log_Total,Log_Issue_Price,Issue_Size_Cat,Sub_Category,IPO_Year,IPO_Month,IPO_Quarter,IPO_HalfYear,Positive_Listing,Strong_Listing,Listing_Category,Hold_Better_Than_Flip,Dominant_Investor,Cluster,Cluster_Name,IPO_Quality_Score,Score_Category,Predicted_Gain,Prob_Positive,Invest_Flag
2010-01-04,JSW Energy Limited,2700.0,2.88,0.15,0.4,1.68,100,102.0,2.0,536.3,536.4,436.3,1.7142857142857142,0.0892857142857142,0.2380952380952381,2.48,-0.25,3.03,1.476190476190476,7.901377353792616,0.9858167945227652,4.61512051684126,Large,Low,2010,1,1,0,1,0,Modest,1,QIB_Dominant,1,"Institutional
Heavyweights",0.1370488534432219,Weak,-0.5476660598079905,0.5051,0
2010-01-05,Godrej Properties Limited,468.85,7.45,0.41,0.38,4.0,490,510.0,4.08,1956.8,1952.1,299.35,1.8625,0.1025,0.095,7.07,0.0299999999999999,7.86,1.7675,6.152413494829074,1.6094379124341005,6.19644412779452,Small,Low,2010,1,1,0,1,0,Modest,1,QIB_Dominant,1,"Institutional
Heavyweights",0.171391011130177,Weak,1.1334781714750488,0.5696,0
2010-01-06,D B Corp Limited,384.22,68.52,26.17,3.42,39.54,212,250.0,17.92,274.75,273.0,29.6,1.7329286798179058,0.6618614061709661,0.08649468892261,65.1,22.75,94.69,1.646433990895296,5.953814599656076,3.702289141023854,5.3612921657094255,Small,Medium,2010,1,1,0,1,1,Strong,1,QIB_Dominant,1,"Institutional
Heavyweights",0.2350273137398325,Moderate,21.546618591244364,0.8994,1
2010-01-11,MBL Infrastructure Limited,102.6,3.35,2.65,0.4,1.97,180,190.0,5.56,40.75,40.78,-77.36,1.700507614213198,1.3451776649746192,0.2030456852791878,2.95,2.25,6.0,1.4974619289340103,4.640537329825382,1.0885619528146082,5.198497031265826,Small,Low,2010,1,1,0,1,0,Modest,0,QIB_Dominant,1,"Institutional
Heavyweights",0.2444792030169926,Moderate,-0.9074225746985438,0.5113,0
2010-01-29,Birla Shloka Edutech Limited,34.78,0.0,5.45,1.76,1.43,50,49.0,-2.0,1.46,,-97.08,0.0,3.811188811188812,1.2307692307692308,-1.76,3.69,5.45,-1.2307692307692308,3.5773890780805733,0.8878912573524571,3.9318256327243257,Small,Low,2010,1,1,0,0,0,Negative,0,HNI_Dominant,0,"Retail-Driven
Weak Demand",0.3103214111342023,Strong,-0.3549129075816467,0.2966,0
2010-02-03,Infinite Computer Solutions Limited,189.8,48.44,106.02,11.08,43.22,165,178.35,8.09,473.75,473.75,187.12,1.1207774178621008,2.4530310041647385,0.2563627950023137,37.36,94.94,154.45999999999998,0.8644146228597871,5.251225759014186,3.7891771754293,5.111987788356544,Small,Medium,2010,2,1,0,1,0,Modest,1,HNI_Dominant,2,"Blockbuster
Demand Stars",0.3130417747337549,Strong,17.162356105059082,0.917,1
2010-02-08,Jubilant Foodworks Limited,328.72,59.39,51.95,3.79,31.11,145,161.6,11.45,635.05,635.5,337.97,1.9090324654451944,1.669881067180971,0.1218257794921247,55.6,48.16,111.34,1.7872066859530698,5.798243809445027,3.4691675081014224,4.983606621708336,Small,Medium,2010,2,1,0,1,0,Modest,1,QIB_Dominant,2,"Blockbuster
Demand Stars",0.2831637446880755,Strong,13.63898329033734,0.7437,1
2010-02-15,Vascon Engineers Limited,178.2,1.12,3.65,0.62,1.22,165,170.0,3.03,49.15,49.22,-70.21,0.918032786885246,2.9918032786885247,0.5081967213114754,0.5000000000000001,3.03,4.77,0.4098360655737706,5.18850250054083,0.7975071958841881,5.111987788356544,Small,Low,2010,2,1,0,1,0,Modest,0,HNI_Dominant,0,"Retail-Driven
Weak Demand",0.285845742535174,Strong,-0.2539299007995141,0.4421,0
2010-02-15,Syncom Healthcare Limited,56.25,0.99,16.6,6.25,5.17,75,88.0,17.33,4.12,4.2,-94.51,0.1914893617021276,3.2108317214700195,1.2088974854932302,-5.26,10.35,17.59,-1.0174081237911026,4.047427642434349,1.8196988379172965,4.330733340286331,Small,Medium,2010,2,1,0,1,1,Strong,0,HNI_Dominant,0,"Retail-Driven
Weak Demand",0.2854068818120976,Strong,16.19456778566496,0.8948,1
2010-02-19,Thangamayil Jewellery Limited,28.75,0.52,1.52,2.26,1.12,75,70.0,-6.67,1967.75,1964.9,2523.67,0.4642857142857142,1.357142857142857,2.0178571428571423,-1.7399999999999998,-0.7399999999999998,2.04,-1.5535714285714282,3.392829131991639,0.7514160886839212,4.330733340286331,Small,Low,2010,2,1,0,0,0,Negative,1,RII_Dominant,0,"Retail-Driven
Weak Demand",0.2030441808687033,Moderate,2.3069193954807408,0.5233,0
