IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
HDB Financial Services Limited,2025-07-02,12500.0,55.47,9.99,1.41,16.69,740,12.84,1,0,0.26,1,"Institutional
Heavyweights"
Indogulf Cropsciences Limited,2025-07-03,200.0,33.26,48.39,14.78,25.98,111,0.0,0,0,-3.69,2,"Blockbuster
Demand Stars"
Crizac Limited,2025-07-09,860.0,134.35,76.15,10.24,59.82,245,14.29,1,0,21.78,1,"Institutional
Heavyweights"
Travel Food Services Limited,2025-07-14,2000.0,7.7,1.58,0.69,2.88,1100,2.38,1,0,4.38,1,"Institutional
Heavyweights"
Smartworks Coworking Limited,2025-07-17,582.56,24.41,22.78,3.53,13.45,407,7.15,1,0,13.59,1,"Institutional
Heavyweights"
Anthem Biosciences Limited,2025-07-21,3395.0,182.65,42.36,5.64,63.86,570,26.86,1,1,32.13,1,"Institutional
Heavyweights"
Indiqube Spaces Limited,2025-07-30,700.0,14.35,8.27,12.9,12.41,237,-7.72,0,0,-8.73,1,"Institutional
Heavyweights"
GNG Electronics Limited,2025-07-30,460.44,266.21,227.67,46.84,147.93,237,47.68,1,1,35.53,2,"Blockbuster
Demand Stars"
Brigade Hotel Ventures Limited,2025-07-31,759.6,5.42,1.92,6.4,4.48,90,-8.89,0,0,-4.5,1,"Institutional
Heavyweights"
Shanti Gold International Ltd,2025-08-01,360.11,117.33,151.48,30.37,81.17,199,15.13,1,1,27.64,2,"Blockbuster
Demand Stars"
Laxmi India Finance Ltd,2025-08-05,254.26,1.3,1.84,2.22,1.87,158,-13.92,0,0,-5.7,0,"Retail-Driven
Weak Demand"
Aditya Infotech Ltd,2025-08-05,1300.0,133.21,72.0,50.87,100.69,675,50.81,1,1,57.72,2,"Blockbuster
Demand Stars"
National Securities Depository Ltd (NSDL),2025-08-06,4011.6,103.97,34.98,7.73,41.01,800,10.0,1,0,,1,"Institutional
Heavyweights"
Sri Lotus Developers & Realty Ltd,2025-08-06,792.0,163.9,57.71,20.28,69.14,150,19.4,1,1,34.07,1,"Institutional
Heavyweights"
M & B Engineering Ltd,2025-08-06,650.0,36.72,38.24,32.55,36.2,385,0.26,1,0,10.87,1,"Institutional
Heavyweights"
