IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
Speciality Restaurants Ltd,2012-05-30,176.09,4.68,2.19,0.55,2.54,150,2.0,1,0,-17.27,1,"Institutional
Heavyweights"
VKS Projects Ltd,2012-07-18,55.0,1.15,0.38,1.13,1.03,55,1.45,1,0,-99.93,0,"Retail-Driven
Weak Demand"
Tara Jewels Ltd,2012-12-06,179.5,1.49,3.1,2.05,1.98,230,5.22,1,0,-99.67,0,"Retail-Driven
Weak Demand"
CARE Ratings Ltd,2012-12-26,539.98,45.8,110.96,6.18,40.98,750,26.53,1,1,118.48,2,"Blockbuster
Demand Stars"
PC Jeweller Ltd,2012-12-27,601.31,7.33,18.12,1.68,6.85,135,0.37,1,0,-90.01,2,"Blockbuster
Demand Stars"
Indus Towers Ltd,2012-12-28,4172.76,2.84,0.29,0.19,1.3,220,-9.09,0,0,53.68,1,"Institutional
Heavyweights"
V-Mart Retail Ltd,2013-02-20,94.42,1.52,1.39,0.79,1.2,210,2.86,1,0,258.88,0,"Retail-Driven
Weak Demand"
Repco Home Finance Ltd,2013-04-01,270.23,3.39,0.35,0.51,1.65,172,-4.07,0,0,125.9,1,"Institutional
Heavyweights"
Just Dial Ltd,2013-06-05,919.14,10.12,22.34,3.53,11.63,530,11.32,1,0,56.05,2,"Blockbuster
Demand Stars"
Power Grid Corporation of India Ltd,2013-12-19,6958.64,115.9,40.34,6.77,64.82,90,7.89,1,0,217.5,1,"Institutional
Heavyweights"
Engineers India Ltd,2014-02-28,498.13,23.43,5.85,2.99,13.36,150,-0.07,0,0,34.0,1,"Institutional
Heavyweights"
Wonderla Holidays Ltd,2014-05-09,181.25,16.71,159.04,7.55,38.06,125,31.8,1,1,371.88,2,"Blockbuster
Demand Stars"
Snowman Logistics Ltd,2014-09-12,197.4,16.98,221.79,41.26,59.75,47,59.57,1,1,14.11,2,"Blockbuster
Demand Stars"
Sharda Cropchem Ltd,2014-09-23,351.86,32.06,251.35,5.85,59.97,156,62.88,1,1,524.13,2,"Blockbuster
Demand Stars"
Shemaroo Entertainment Ltd,2014-10-01,120.0,5.69,8.64,7.79,7.39,170,5.88,1,0,-31.76,0,"Retail-Driven
Weak Demand"
Monte Carlo Fashions Ltd,2014-12-19,350.43,13.96,1.71,6.96,7.83,645,-9.3,0,0,-14.79,1,"Institutional
Heavyweights"
Ortel Communications Ltd,2015-03-19,174.71,1.01,0.09,0.39,0.75,181,0.0,0,0,-99.22,1,"Institutional
Heavyweights"
Imagicaaworld Entertainment Ltd,2015-04-06,374.59,1.17,0.7,1.37,1.11,180,-6.69,0,0,-66.32,0,"Retail-Driven
Weak Demand"
Inox Wind Ltd,2015-04-09,1020.53,35.68,35.38,2.15,18.6,325,23.08,1,1,-56.91,1,"Institutional
Heavyweights"
VRL Logistics Ltd,2015-04-30,467.88,58.22,250.86,7.92,74.26,205,40.49,1,1,180.49,2,"Blockbuster
Demand Stars"
MEP Infrastructure Developers Ltd,2015-05-06,324.0,1.02,1.51,0.97,1.11,63,0.0,0,0,-97.38,0,"Retail-Driven
Weak Demand"
UFO Moviez India Ltd,2015-05-14,600.0,4.49,1.17,1.02,2.04,625,-4.0,0,0,-87.61,1,"Institutional
Heavyweights"
PNC Infratech Ltd,2015-05-26,488.44,4.51,0.65,0.28,1.56,378,0.79,1,0,-19.75,1,"Institutional
Heavyweights"
Manpasand Beverages Ltd,2015-07-09,400.0,1.98,0.38,1.16,1.4,320,-9.06,0,0,-98.08,1,"Institutional
Heavyweights"
Syngene International Ltd,2015-08-11,550.0,51.47,90.24,4.78,32.05,250,18.0,1,1,157.98,2,"Blockbuster
Demand Stars"
Power Mech Projects Ltd,2015-08-26,273.22,27.53,133.22,3.42,38.12,640,-6.25,0,0,386.41,2,"Blockbuster
Demand Stars"
Navkar Corporation Ltd,2015-09-09,600.0,6.47,0.9,1.62,2.85,155,-1.94,0,0,-22.9,1,"Institutional
Heavyweights"
Shree Pushkar Chemicals Ltd,2015-09-10,70.0,0.97,2.09,1.54,1.34,65,-7.69,0,0,514.23,0,"Retail-Driven
Weak Demand"
Pennar Engineered Building Systems Ltd,2015-09-10,156.19,2.2,1.44,0.41,1.15,178,-15.73,0,0,-64.13,1,"Institutional
Heavyweights"
Sadbhav Infrastructure Project Ltd,2015-09-16,491.66,3.04,1.66,1.68,2.24,103,7.52,1,0,-96.5,1,"Institutional
Heavyweights"
Madhyam Agrivet Industries Ltd,2015-09-21,362.57,0.88,1.42,0.34,0.77,115,0.0,0,0,-13.26,1,"Institutional
Heavyweights"
Coffee Day Enterprises Ltd,2015-11-02,1150.0,13.72,13.2,5.12,11.52,328,-4.57,0,0,-89.08,1,"Institutional
Heavyweights"
Interglobe Aviation Ltd,2015-11-10,3008.5,17.8,3.57,0.92,6.15,765,11.9,1,0,672.55,1,"Institutional
Heavyweights"
S H Kelkar & Company Ltd,2015-11-16,508.17,4.68,1.14,0.47,1.84,180,23.33,1,1,30.03,1,"Institutional
Heavyweights"
Alkem Laboratories Ltd,2015-12-23,1347.76,57.19,129.96,3.17,44.29,1050,31.43,1,1,371.18,2,"Blockbuster
Demand Stars"
Dr Lal Pathlabs Ltd,2015-12-23,631.91,63.56,61.28,4.24,33.41,550,30.36,1,1,489.98,2,"Blockbuster
Demand Stars"
Narayana Hrudayalaya Ltd,2016-01-06,613.08,24.43,3.62,1.89,8.7,250,16.4,1,1,618.78,1,"Institutional
Heavyweights"
Precision Camshafts Ltd,2016-02-08,410.19,2.62,0.73,2.01,1.91,186,-12.31,0,0,-6.4,1,"Institutional
Heavyweights"
Team Lease Services Ltd,2016-02-12,423.68,26.97,185.24,10.62,66.02,850,1.18,1,0,103.53,2,"Blockbuster
Demand Stars"
Quick Heal Technologies Ltd,2016-02-18,451.25,4.34,36.69,3.82,10.8,321,-5.0,0,0,-10.45,2,"Blockbuster
Demand Stars"
Healthcare Global Enterprises Ltd,2016-03-30,649.64,2.36,0.43,0.83,1.56,218,-3.76,0,0,202.29,1,"Institutional
Heavyweights"
Bharat Wire Ropes Ltd,2016-04-01,70.0,1.01,2.02,2.08,1.21,45,5.22,1,0,285.11,0,"Retail-Driven
Weak Demand"
Infibeam Avenues Ltd,2016-04-04,450.0,0.86,2.23,1.31,1.11,432,6.02,1,0,-96.51,0,"Retail-Driven
Weak Demand"
Equitas Holdings Ltd,2016-04-21,2176.69,14.93,57.29,1.4,17.21,110,30.91,1,1,9.0,2,"Blockbuster
Demand Stars"
Thyrocare Technologies Ltd,2016-05-09,479.21,73.18,225.3,8.73,73.55,446,48.43,1,1,202.02,2,"Blockbuster
Demand Stars"
Ujjivan Financial Services Ltd,2016-05-10,882.5,33.84,135.45,4.02,40.68,210,8.1,1,0,181.12,2,"Blockbuster
Demand Stars"
Parag Milk Foods Ltd,2016-05-19,750.54,1.15,3.08,2.12,1.83,215,0.33,1,0,2.84,0,"Retail-Driven
Weak Demand"
Mahanagar Gas Ltd,2016-07-01,1038.88,72.84,191.61,6.82,64.54,421,28.27,1,1,222.09,2,"Blockbuster
Demand Stars"
Quess Corp Ltd,2016-07-12,400.0,59.03,392.21,34.08,144.5,317,57.41,1,1,-12.78,2,"Blockbuster
Demand Stars"
LTIMindtree Ltd,2016-07-21,1236.38,19.91,10.76,7.39,11.69,710,-6.11,0,0,618.08,1,"Institutional
Heavyweights"
Advanced Enzyme Technologies Ltd,2016-08-01,411.49,94.03,393.1,11.67,116.02,896,35.04,1,1,-66.29,2,"Blockbuster
Demand Stars"
Dilip Buildcon Ltd,2016-08-11,653.98,9.76,79.64,2.35,20.95,219,9.59,1,0,116.76,2,"Blockbuster
Demand Stars"
S P Apparels Ltd,2016-08-12,239.12,1.0,0.45,0.54,0.66,268,13.81,1,0,203.88,1,"Institutional
Heavyweights"
RBL Bank Ltd,2016-08-31,1212.97,85.08,198.06,5.7,69.62,225,21.64,1,1,14.8,2,"Blockbuster
Demand Stars"
L&T Technology Services Ltd,2016-09-23,894.4,5.01,1.03,1.75,2.53,860,4.65,1,0,386.41,1,"Institutional
Heavyweights"
GNA Axles Ltd,2016-09-26,130.41,17.18,217.47,11.84,54.88,207,20.05,1,1,46.62,2,"Blockbuster
Demand Stars"
ICICI Prudential Life Insurance Company Ltd,2016-09-29,6056.79,11.83,28.55,1.42,10.48,334,-1.5,0,0,83.91,1,"Institutional
Heavyweights"
HPL Electric & Power Ltd,2016-10-04,361.0,5.77,22.2,3.31,8.06,202,-5.92,0,0,189.85,0,"Retail-Driven
Weak Demand"
Endurance Technologies Ltd,2016-10-19,1161.73,53.43,127.07,2.69,43.84,472,20.76,1,1,436.65,2,"Blockbuster
Demand Stars"
PNB Housing Finance Ltd,2016-11-07,3000.0,37.33,86.17,1.35,29.55,775,11.35,1,0,-0.77,2,"Blockbuster
Demand Stars"
Varun Beverages Ltd,2016-11-08,1112.5,4.94,0.42,0.82,1.86,445,-3.37,0,0,15.3,1,"Institutional
Heavyweights"
Sheela Foam Ltd,2016-12-09,510.0,14.51,3.35,0.44,5.09,730,17.81,1,1,-8.97,1,"Institutional
Heavyweights"
Laurus Labs Ltd,2016-12-19,1330.51,10.54,3.58,1.67,4.57,428,14.49,1,0,92.03,1,"Institutional
Heavyweights"
BSE Ltd (Bombay Stock Exchange),2017-02-03,1243.43,48.64,159.03,6.48,51.22,806,34.62,1,1,,2,"Blockbuster
Demand Stars"
Music Broadcast Ltd,2017-03-17,488.53,39.78,109.13,9.85,39.67,333,26.13,1,1,-97.5,2,"Blockbuster
Demand Stars"
Avenue Supermarts Ltd (DMart),2017-03-21,1870.0,144.62,277.74,7.51,104.59,299,102.14,1,1,1318.01,2,"Blockbuster
Demand Stars"
CL Educate Ltd,2017-03-31,238.95,3.65,0.21,1.63,1.9,502,-20.72,0,0,-78.78,1,"Institutional
Heavyweights"
Shankara Building Products Ltd,2017-04-05,345.0,51.62,90.68,15.35,41.88,460,18.48,1,1,139.24,2,"Blockbuster
Demand Stars"
S Chand & Company Ltd,2017-05-09,728.6,44.27,204.65,6.07,59.49,670,5.52,1,0,-72.22,2,"Blockbuster
Demand Stars"
IRB InvIT Fund,2017-05-18,5032.88,10.81,5.89,0.0,8.57,102,1.23,1,0,-38.04,1,"Institutional
Heavyweights"
Housing & Urban Development Corporation Ltd,2017-05-19,1209.78,55.45,330.36,10.79,79.53,60,22.42,1,1,252.42,2,"Blockbuster
Demand Stars"
PSP Projects Ltd,2017-05-29,211.68,8.38,10.39,6.47,8.58,210,-5.24,0,0,217.14,0,"Retail-Driven
Weak Demand"
IndiGrid Infrastructure Fund,2017-06-06,2249.96,1.14,1.6,0.0,1.35,100,0.0,0,0,57.89,1,"Institutional
Heavyweights"
Tejas Networks Ltd,2017-06-27,776.69,2.16,0.48,3.1,1.88,257,0.0,0,0,117.57,0,"Retail-Driven
Weak Demand"
ERIS Lifesciences Ltd,2017-06-29,1741.16,4.68,0.45,3.51,3.29,603,1.49,1,0,179.0,1,"Institutional
Heavyweights"
Central Depository Services Ltd,2017-06-30,523.99,148.71,563.03,23.83,170.16,149,67.79,1,1,,2,"Blockbuster
Demand Stars"
GTPL Hathway Ltd,2017-07-04,484.8,1.48,2.85,0.99,1.53,170,0.0,0,0,-30.65,0,"Retail-Driven
Weak Demand"
AU Small Finance Bank Ltd,2017-07-10,1912.51,78.77,143.51,3.52,53.6,358,46.65,1,1,104.86,2,"Blockbuster
Demand Stars"
Salasar Techno Engineering Ltd,2017-07-25,35.87,0.0,2.59,19.42,11.01,108,139.95,1,1,-93.47,0,"Retail-Driven
Weak Demand"
SIS Ltd,2017-08-10,779.58,5.64,1.66,19.51,7.07,815,7.36,1,0,-54.85,0,"Retail-Driven
Weak Demand"
Cochin Shipyard Ltd,2017-08-11,1442.01,63.52,288.87,8.51,76.19,432,0.69,1,0,283.09,2,"Blockbuster
Demand Stars"
Apex Frozen Foods Ltd,2017-09-04,152.25,1.91,7.82,8.53,6.14,175,14.23,1,0,33.4,0,"Retail-Driven
Weak Demand"
Dixon Technologies (India) Ltd,2017-09-18,599.28,134.66,345.61,10.6,117.83,1766,54.3,1,1,801.7,2,"Blockbuster
Demand Stars"
Bharat Road Network Ltd,2017-09-18,600.65,1.33,1.63,5.69,1.81,205,-0.05,0,0,-91.02,0,"Retail-Driven
Weak Demand"
Matrimony.com Ltd,2017-09-21,496.88,1.88,0.41,18.16,4.44,985,0.0,0,0,-48.16,0,"Retail-Driven
Weak Demand"
Capacit'e Infraprojects Ltd,2017-09-25,400.0,131.32,638.05,17.57,183.03,250,59.6,1,1,16.4,2,"Blockbuster
Demand Stars"
ICICI Lombard General Insurance Company Ltd,2017-09-27,5700.94,8.17,0.83,1.23,2.98,661,-1.66,0,0,187.07,1,"Institutional
Heavyweights"
SBI Life Insurance Company Ltd,2017-10-03,8386.4,12.56,0.7,0.85,3.58,700,4.76,1,0,163.31,1,"Institutional
Heavyweights"
Prataap Snacks Ltd,2017-10-05,481.56,76.89,101.15,8.48,47.39,938,33.26,1,1,-3.58,2,"Blockbuster
Demand Stars"
Godrej Agrovet Ltd,2017-10-16,1157.31,150.96,236.04,7.67,95.41,460,35.0,1,1,72.8,2,"Blockbuster
Demand Stars"
MAS Financial Services Ltd,2017-10-18,460.04,148.33,378.53,15.97,128.39,459,43.79,1,1,-34.24,2,"Blockbuster
Demand Stars"
Indian Energy Exchange Ltd,2017-10-23,1000.73,2.56,0.85,2.61,2.28,1650,-9.09,0,0,-91.65,1,"Institutional
Heavyweights"
General Insurance Corporation of India Ltd,2017-10-25,11175.8,2.25,0.22,0.63,1.38,912,-6.8,0,0,-56.56,1,"Institutional
Heavyweights"
Nippon Life India Asset Management Ltd,2017-11-06,1542.24,118.4,209.44,5.65,81.54,252,16.67,1,1,219.84,2,"Blockbuster
Demand Stars"
Mahindra Logistics Ltd,2017-11-10,828.88,15.6,2.07,6.1,7.9,429,0.7,1,0,-23.89,1,"Institutional
Heavyweights"
New India Assurance Company Ltd,2017-11-13,9466.98,2.34,0.12,0.11,1.19,800,-6.39,0,0,-76.58,1,"Institutional
Heavyweights"
Khadim India Ltd,2017-11-14,543.06,2.44,0.18,2.33,1.9,750,-3.07,0,0,-65.1,1,"Institutional
Heavyweights"
HDFC Life Insurance Company Ltd,2017-11-17,8695.0,16.6,2.29,0.94,4.9,290,7.24,1,0,162.57,1,"Institutional
Heavyweights"
Shalby Ltd,2017-12-15,504.8,4.34,0.42,2.98,2.82,248,-4.44,0,0,-17.68,1,"Institutional
Heavyweights"
Future Supply Chain Solutions Ltd,2017-12-18,649.7,12.36,11.15,3.28,7.56,664,1.51,1,0,-99.64,1,"Institutional
Heavyweights"
Astron Paper & Board Mill Ltd,2017-12-29,69.83,103.36,396.99,77.93,243.29,50,128.0,1,1,-70.5,2,"Blockbuster
Demand Stars"
Apollo Micro Systems Ltd,2018-01-22,156.0,101.93,958.07,40.19,248.51,275,73.82,1,1,-32.62,2,"Blockbuster
Demand Stars"
Newgen Software Technologies Ltd,2018-01-29,424.62,15.62,5.52,5.18,8.25,245,3.27,1,0,254.45,1,"Institutional
Heavyweights"
Amber Enterprises India Ltd,2018-01-30,599.57,174.99,519.26,11.65,165.42,859,37.37,1,1,698.04,2,"Blockbuster
Demand Stars"
Galaxy Surfactants Ltd,2018-02-08,937.09,54.27,6.96,6.01,20.0,1480,2.7,1,0,61.15,1,"Institutional
Heavyweights"
Aster DM Healthcare Ltd,2018-02-26,980.14,2.1,0.55,1.18,1.31,190,-4.16,0,0,210.18,1,"Institutional
Heavyweights"
H.G. Infra Engineering Ltd,2018-03-09,462.0,8.37,4.97,3.08,4.98,270,0.0,0,0,268.52,1,"Institutional
Heavyweights"
Bharat Dynamics Ltd,2018-03-23,952.79,1.5,0.5,1.41,1.3,428,-15.89,0,0,244.86,1,"Institutional
Heavyweights"
Bandhan Bank Ltd,2018-03-27,4473.02,38.67,13.89,1.2,14.63,375,29.33,1,1,-55.41,1,"Institutional
Heavyweights"
Hindustan Aeronautics Ltd (HAL),2018-03-28,4113.13,1.73,0.03,0.39,0.99,1215,-3.79,0,0,256.79,1,"Institutional
Heavyweights"
Sandhar Technologies Ltd,2018-04-02,512.48,14.49,6.39,1.42,6.19,332,3.92,1,0,27.21,1,"Institutional
Heavyweights"
Dharan Infra EPC Ltd,2018-04-02,77.4,1.55,3.44,2.01,2.54,180,-24.44,0,0,-99.74,0,"Retail-Driven
Weak Demand"
Mishra Dhatu Nigam Ltd (MIDHANI),2018-04-04,435.02,1.96,0.13,0.72,1.21,90,-3.33,0,0,333.22,1,"Institutional
Heavyweights"
ICICI Securities Ltd,2018-04-04,3514.85,1.04,0.36,0.88,0.78,520,-17.1,0,0,72.25,1,"Institutional
Heavyweights"
Lemon Tree Hotels Ltd,2018-04-09,1038.68,3.89,0.12,0.12,1.19,56,10.0,1,0,159.82,1,"Institutional
Heavyweights"
Indostar Capital Finance Ltd,2018-05-21,1844.0,16.08,6.91,1.48,6.8,572,4.9,1,0,-51.89,1,"Institutional
Heavyweights"
Rites Ltd,2018-07-02,460.51,71.72,194.56,15.74,67.24,185,2.7,1,0,35.86,2,"Blockbuster
Demand Stars"
Fine Organic Industries Ltd,2018-07-02,600.17,12.86,21.01,1.62,8.99,783,4.09,1,0,517.93,1,"Institutional
Heavyweights"
Varroc Engineering Ltd,2018-07-06,1954.96,9.16,2.45,0.95,3.59,967,6.72,1,0,-46.23,1,"Institutional
Heavyweights"
TCNS Clothing Co. Ltd,2018-07-30,1125.13,13.47,5.08,0.67,5.27,716,-0.14,0,0,-18.45,1,"Institutional
Heavyweights"
HDFC Asset Management Company Ltd,2018-08-06,2800.33,192.26,195.15,6.73,83.06,1100,58.09,1,1,399.13,2,"Blockbuster
Demand Stars"
CreditAccess Grameen Ltd,2018-08-23,1131.19,5.52,0.98,0.88,2.22,422,-8.77,0,0,203.55,1,"Institutional
Heavyweights"
Ircon International Ltd,2018-09-28,466.94,12.29,4.92,10.07,9.9,475,-13.62,0,0,-64.79,1,"Institutional
Heavyweights"
AAVAS Financiers Ltd,2018-10-08,1640.32,2.77,0.26,0.25,0.97,821,-7.67,0,0,108.69,1,"Institutional
Heavyweights"
Garden Reach Shipbuilders & Engineers Ltd,2018-10-10,343.59,1.81,0.31,0.24,1.02,118,-11.86,0,0,2031.99,1,"Institutional
Heavyweights"
Xelpmoc Design and Technologies Ltd,2019-02-04,23.0,1.24,7.69,2.64,3.25,66,-15.15,0,0,38.98,0,"Retail-Driven
Weak Demand"
Chalet Hotels Ltd,2019-02-07,1641.18,4.66,1.1,0.03,1.57,280,3.93,1,0,214.0,1,"Institutional
Heavyweights"
MSTC Ltd,2019-03-29,211.04,0.29,1.71,2.18,0.7,120,-7.5,0,0,292.42,0,"Retail-Driven
Weak Demand"
Embassy Office Parks REIT,2019-04-01,4750.0,2.15,3.09,0.0,2.57,300,0.0,0,0,28.33,1,"Institutional
Heavyweights"
Rail Vikas Nigam Ltd,2019-04-11,477.11,1.36,0.8,2.93,1.83,19,0.0,0,0,1713.42,0,"Retail-Driven
Weak Demand"
Metropolis Healthcare Ltd,2019-04-15,1204.29,8.88,3.03,2.21,5.84,880,9.09,1,0,134.18,1,"Institutional
Heavyweights"
Polycab India Ltd,2019-04-16,1345.26,92.44,110.42,4.65,51.96,538,17.66,1,1,1135.88,2,"Blockbuster
Demand Stars"
Neogen Chemicals Ltd,2019-05-08,132.35,30.49,113.88,16.06,41.18,215,16.74,1,1,560.47,2,"Blockbuster
Demand Stars"
Indiamart Intermesh Ltd,2019-07-04,475.59,14.92,15.78,3.03,12.95,973,21.27,1,1,164.54,1,"Institutional
Heavyweights"
Affle (India) Ltd,2019-08-08,459.0,55.31,198.69,10.96,86.49,745,24.82,1,1,165.14,2,"Blockbuster
Demand Stars"
Spandana Sphoorty Financial Ltd,2019-08-19,1189.85,3.11,0.55,0.09,1.05,856,-3.74,0,0,-71.0,1,"Institutional
Heavyweights"
Sterling and Wilson Solar Ltd,2019-08-20,2849.64,1.02,0.89,0.3,0.85,780,-10.26,0,0,-63.85,1,"Institutional
Heavyweights"
Indian Railway Catering and Tourism Corporation Ltd,2019-10-14,637.97,108.79,354.52,14.94,111.95,320,101.25,1,1,127.08,2,"Blockbuster
Demand Stars"
Vishwaraj Sugar Industries Ltd,2019-10-15,60.0,1.0,1.76,0.64,1.12,60,2.0,1,0,-85.17,0,"Retail-Driven
Weak Demand"
CSB Bank Ltd,2019-12-04,409.68,62.18,164.68,44.53,86.93,195,41.03,1,1,111.69,2,"Blockbuster
Demand Stars"
Ujjivan Small Finance Bank Ltd,2019-12-12,745.95,110.72,473.0,49.09,165.69,37,56.76,1,1,16.95,2,"Blockbuster
Demand Stars"
Prince Pipes and Fittings Ltd,2019-12-30,500.0,3.54,1.21,1.89,2.21,178,-10.11,0,0,63.68,1,"Institutional
Heavyweights"
SBI Cards & Payment Services Ltd,2020-03-16,10340.8,57.18,45.23,2.5,26.54,755,-12.85,0,0,5.68,1,"Institutional
Heavyweights"
Rossari Biotech Ltd,2020-07-23,496.25,85.26,239.83,7.23,79.37,425,57.65,1,1,49.66,2,"Blockbuster
Demand Stars"
Yes Bank Ltd,2020-07-27,15000.0,1.9,0.63,0.47,0.93,12,2.5,1,0,56.58,1,"Institutional
Heavyweights"
Mindspace Business Parks REIT,2020-08-07,4500.0,13.72,13.2,5.12,11.52,275,10.55,1,0,50.93,1,"Institutional
Heavyweights"
Happiest Minds Technologies Ltd,2020-09-17,702.02,77.43,351.46,70.94,150.98,166,111.45,1,1,250.18,2,"Blockbuster
Demand Stars"
Route Mobile Ltd,2020-09-21,600.0,89.76,192.81,12.67,73.3,350,102.29,1,1,149.96,2,"Blockbuster
Demand Stars"
Chemcon Speciality Chemicals Ltd,2020-10-01,318.0,113.54,449.14,41.21,149.33,340,114.99,1,1,-31.78,2,"Blockbuster
Demand Stars"
Computer Age Management Services Ltd,2020-10-01,2242.11,73.18,111.85,5.55,46.99,1230,23.41,1,1,208.44,2,"Blockbuster
Demand Stars"
Angel One Ltd,2020-10-05,600.0,3.07,0.11,1.83,1.81,306,-10.13,0,0,726.0,1,"Institutional
Heavyweights"
Mazagon Dock Shipbuilders Ltd,2020-10-12,443.69,89.71,678.88,35.63,157.41,145,49.14,1,1,1760.9,2,"Blockbuster
Demand Stars"
UTI Asset Management Company Ltd,2020-10-12,2159.88,3.34,0.93,2.32,2.31,554,-11.51,0,0,140.27,1,"Institutional
Heavyweights"
Likhitha Infrastructure Ltd,2020-10-15,61.2,21.99,1.54,23.71,9.51,120,8.42,1,0,111.33,0,"Retail-Driven
Weak Demand"
Equitas Small Finance Bank Ltd,2020-11-02,517.6,3.91,0.22,2.08,1.95,33,-6.06,0,0,66.67,1,"Institutional
Heavyweights"
Gland Pharma Ltd,2020-11-20,6479.55,6.4,0.51,0.24,2.06,1500,13.4,1,0,28.68,1,"Institutional
Heavyweights"
Restaurant Brands Asia Ltd,2020-12-14,810.0,86.64,354.11,68.15,156.65,60,92.25,1,1,29.95,2,"Blockbuster
Demand Stars"
Mrs Bectors Food Specialities Ltd,2020-12-24,540.54,176.85,620.86,29.33,198.02,288,73.96,1,1,400.42,2,"Blockbuster
Demand Stars"
Antony Waste Handling Cell Ltd,2021-01-01,299.99,0.89,0.26,0.37,0.49,315,36.51,1,1,84.59,1,"Institutional
Heavyweights"
Indian Railway Finance Corporation Limited,2021-01-29,4633.38,3.78,2.67,3.66,3.49,26,-3.85,0,0,386.15,1,"Institutional
Heavyweights"
Indigo Paints Limited,2021-02-02,1169.12,189.57,263.05,15.93,117.02,1490,75.0,1,1,-25.78,2,"Blockbuster
Demand Stars"
Home First Finance Company India Limited,2021-02-03,1153.72,52.53,39.0,6.59,26.66,518,18.18,1,1,140.59,1,"Institutional
Heavyweights"
Stove Kraft Limited,2021-02-05,412.63,8.02,32.72,26.04,18.03,385,21.3,1,1,52.64,0,"Retail-Driven
Weak Demand"
Brookfield India Real Estate Trust,2021-02-16,3800.0,4.78,11.74,0.0,7.94,275,0.02,1,0,13.99,1,"Institutional
Heavyweights"
Nureca Limited,2021-02-25,100.0,3.1,31.59,166.65,39.93,400,58.74,1,1,-40.49,0,"Retail-Driven
Weak Demand"
Railtel Corporation of India Limited,2021-02-26,819.24,65.14,73.25,16.78,42.39,94,11.28,1,0,272.39,2,"Blockbuster
Demand Stars"
Heranba Industries Limited,2021-03-05,625.24,67.45,271.15,11.84,83.29,627,43.54,1,1,-43.68,2,"Blockbuster
Demand Stars"
MTAR Technologies Limited,2021-03-15,596.41,164.99,650.79,28.4,200.79,575,85.03,1,1,156.52,2,"Blockbuster
Demand Stars"
Easy Trip Planners Limited,2021-03-19,510.0,77.53,382.21,70.4,159.33,187,10.16,1,0,-95.05,2,"Blockbuster
Demand Stars"
Anupam Rasayan India Limited,2021-03-24,760.0,65.74,97.42,10.77,44.06,555,-3.66,0,0,104.56,2,"Blockbuster
Demand Stars"
Laxmi Organic Industries Limited,2021-03-25,600.0,175.43,217.62,20.06,106.79,130,20.15,1,1,41.15,2,"Blockbuster
Demand Stars"
Craftsman Automation Limited,2021-03-25,823.7,5.21,2.84,3.43,3.81,1490,-9.4,0,0,359.39,1,"Institutional
Heavyweights"
Kalyan Jewellers India Limited,2021-03-26,1174.82,2.76,1.91,2.82,2.61,87,-15.06,0,0,499.25,1,"Institutional
Heavyweights"
Suryoday Small Finance Bank Limited,2021-03-26,580.84,2.18,1.31,3.09,2.37,305,-3.93,0,0,-59.59,0,"Retail-Driven
Weak Demand"
Nazara Technologies Limited,2021-03-30,582.69,103.77,389.89,75.29,175.46,1101,79.02,1,1,28.6,2,"Blockbuster
Demand Stars"
Barbeque Nation Hospitality Limited,2021-04-07,452.87,5.11,3.1,13.13,5.98,500,-1.6,0,0,-48.73,0,"Retail-Driven
Weak Demand"
Macrotech Developers Limited (Lodha Group),2021-04-19,2500.0,3.05,1.44,0.4,1.36,486,-9.67,0,0,151.54,1,"Institutional
Heavyweights"
Powergrid Infrastructure Investment Trust,2021-05-14,7734.99,4.63,5.07,0.0,4.83,100,4.0,1,0,-8.75,1,"Institutional
Heavyweights"
Shyam Metalics and Energy Limited,2021-06-24,908.55,155.71,339.98,11.58,121.4,306,19.93,1,1,208.71,2,"Blockbuster
Demand Stars"
Sona BLW Precision Forgings Limited,2021-06-24,5550.0,3.46,0.39,1.57,2.28,291,3.92,1,0,53.9,1,"Institutional
Heavyweights"
Krishna Institute of Medical Sciences Limited,2021-06-28,2143.74,5.26,1.89,2.9,3.86,825,22.29,1,1,-11.53,1,"Institutional
Heavyweights"
Dodla Dairy Limited,2021-06-28,520.18,84.88,73.26,11.33,45.61,428,23.36,1,1,203.5,2,"Blockbuster
Demand Stars"
India Pesticides Limited,2021-07-05,800.0,42.95,51.88,11.3,29.04,296,21.62,1,1,-25.74,2,"Blockbuster
Demand Stars"
G R Infraprojects Limited,2021-07-19,962.33,75.4,165.03,7.69,59.1,837,103.11,1,1,48.43,2,"Blockbuster
Demand Stars"
Clean Science and Technology Limited,2021-07-19,1546.62,70.31,110.28,5.71,46.57,900,98.27,1,1,30.54,2,"Blockbuster
Demand Stars"
Eternal Limited,2021-07-23,9375.0,51.79,32.96,7.45,38.25,76,51.32,1,1,302.11,1,"Institutional
Heavyweights"
Tatva Chintan Pharma Chem Limited,2021-07-29,500.0,185.23,512.22,35.35,180.36,1083,95.0,1,1,-4.32,2,"Blockbuster
Demand Stars"
Alivus Life Sciences Limited,2021-08-06,1513.6,36.97,122.54,14.63,44.17,720,4.32,1,0,30.24,2,"Blockbuster
Demand Stars"
