IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,IPO_Quality_Score,Score_Category,Positive_Listing,Strong_Listing
Niva Bupa Health Insurance Company Limited,2200.0,2.06,0.68,2.73,1.8,74,6.08,0.12333482723357227,Weak,1,0
Fineotex Chemical Ltd,29.48,0.0,0.22,4.38,1.57,70,14.29,0.12113750876362736,Weak,1,0
Sona BLW Precision Forgings Limited,5550.0,3.46,0.39,1.57,2.28,291,3.92,0.12076019688172684,Weak,1,0
Swiggy Limited,11327.4,6.02,0.41,1.14,3.59,390,5.64,0.11801019749895836,Weak,1,0
General Insurance Corporation of India Ltd,11175.8,2.25,0.22,0.63,1.38,912,-6.8,0.11523271979458599,Weak,0,0
Indo Thai Securities Ltd,29.6,0.0,0.02,3.35,1.18,74,1.35,0.11426063107841891,Weak,1,0
SIS Ltd,779.58,5.64,1.66,19.51,7.07,815,7.36,0.11411774701080293,Weak,1,0
NTPC Green Energy Limited,10000.0,3.32,0.81,3.44,2.42,108,3.33,0.10928065771108751,Weak,1,0
Star Health and Allied Insurance Company Limited,6400.44,1.03,0.19,1.1,0.79,900,-5.69,0.10710814587054976,Weak,0,0
Inox Green Energy Limited,740.0,1.05,0.47,4.7,1.55,65,-6.92,0.10574326199159406,Weak,0,0
One97 Communications,18300.0,2.79,0.24,1.66,1.89,2150,-9.07,0.09825144044477509,Weak,0,0
Sansera Engineering Limited,1282.52,0.29,0.07,0.87,0.53,744,9.05,0.09552267307977914,Weak,1,0
Fino Payments Bank Limited,1200.29,1.65,0.21,5.92,2.03,577,-5.03,0.0954399588037867,Weak,0,0
Matrimony.com Ltd,496.88,1.88,0.41,18.16,4.44,985,0.0,0.08643187984213249,Weak,0,0
Nexus Select Trust,3200.0,0.0,0.0,0.0,3.61,100,2.27,0.07379700386982468,Weak,1,0
Juniper Hotels Ltd ,1800.0,0.0,0.06,0.52,0.11,360,0.33,0.06535032525596199,Weak,1,0
